ts,open,high,low,close,volume
2023-01-02,380.0,381.07,378.61,379.08,5495304
2023-01-03,379.08,381.37,376.39,377.92,8631150
2023-01-04,377.92,377.95,376.2,376.92,1760955
2023-01-05,376.92,378.4,376.7,377.71,5743369
2023-01-06,377.71,381.01,374.2,379.97,5841090
2023-01-07,379.97,380.54,372.5,372.83,2854568
2023-01-08,372.83,381.94,372.55,380.75,1988112
2023-01-09,380.75,385.6,379.59,383.16,6721053
2023-01-10,383.16,388.2,381.86,385.66,5594813
2023-01-11,385.66,386.31,380.04,382.68,6192628
2023-01-12,382.68,387.64,381.04,384.57,5912048
2023-01-13,384.57,388.12,383.64,386.34,3083953
2023-01-14,386.34,391.49,386.24,388.31,5405667
2023-01-15,388.31,396.03,388.25,394.04,4765094
2023-01-16,394.04,399.94,389.68,391.33,7351358
2023-01-17,391.33,397.27,387.14,394.51,4537462
2023-01-18,394.51,401.72,394.26,400.92,8344040
2023-01-19,400.92,401.76,393.55,395.36,3937509
2023-01-20,395.36,396.96,386.8,390.76,8924559
2023-01-21,390.76,393.57,387.47,393.16,1545259
2023-01-22,393.16,400.83,389.05,399.55,7894804
2023-01-23,399.55,402.84,387.51,388.65,8441033
2023-01-24,388.65,389.05,387.1,388.36,1982270
2023-01-25,388.36,390.63,388.3,389.13,3411153
2023-01-26,389.13,392.68,385.77,391.5,1675964
2023-01-27,391.5,398.29,389.62,397.18,3330683
2023-01-28,397.18,406.09,396.02,403.35,4483759
2023-01-29,403.35,406.7,400.52,400.8,4191372
2023-01-30,400.8,403.73,400.09,403.4,2957364
2023-01-31,403.4,410.65,403.08,406.44,2529602
2023-02-01,406.44,406.78,404.57,406.57,5750814
2023-02-02,406.57,409.32,405.52,408.83,8207508
2023-02-03,408.83,409.13,402.46,402.79,8545829
2023-02-04,402.79,406.55,397.68,401.63,6709077
2023-02-05,401.63,405.21,400.8,403.1,6320806
2023-02-06,403.1,405.66,402.25,404.49,2751232
2023-02-07,404.49,404.88,401.82,402.65,5754525
2023-02-08,402.65,403.24,400.76,401.59,4050181
2023-02-09,401.59,402.14,399.92,400.48,6321813
2023-02-10,400.48,404.8,398.44,404.77,4054824
2023-02-11,404.77,404.95,396.66,402.76,5029846
2023-02-12,402.76,404.77,402.66,403.83,1857211
2023-02-13,403.83,407.63,400.45,403.98,5331327
2023-02-14,403.98,410.47,403.19,405.05,5431344
2023-02-15,405.05,407.66,397.62,400.81,3500557
2023-02-16,400.81,405.17,396.57,397.16,6840121
2023-02-17,397.16,402.49,395.44,400.3,2868921
2023-02-18,400.3,404.04,397.43,398.21,3765430
2023-02-19,398.21,400.49,393.54,394.41,2637003
2023-02-20,394.41,395.8,383.78,387.47,7206504
2023-02-21,387.47,389.91,384.02,388.56,1234353
2023-02-22,388.56,389.64,386.22,389.03,2624411
2023-02-23,389.03,394.04,380.69,385.4,3931983
2023-02-24,385.4,390.76,384.84,388.8,2849372
2023-02-25,388.8,394.27,387.51,392.82,8552333
2023-02-26,392.82,397.3,392.73,397.2,8626915
2023-02-27,397.2,400.41,390.14,392.87,8631763
2023-02-28,392.87,398.88,390.68,396.26,2672012
2023-03-01,396.26,396.44,393.23,393.71,7717794
2023-03-02,393.71,396.97,388.95,390.09,4885272
2023-03-03,390.09,393.11,381.58,381.78,2065675
2023-03-04,381.78,384.55,378.92,379.4,4903671
2023-03-05,379.4,381.47,376.7,380.37,6513566
2023-03-06,380.37,381.5,369.67,370.13,5599352
2023-03-07,370.13,371.0,367.23,370.74,5417281
2023-03-08,370.74,370.75,368.7,369.82,8312709
2023-03-09,369.82,376.7,368.43,372.78,5204050
2023-03-10,372.78,373.59,370.06,373.42,3175709
2023-03-11,373.42,374.49,363.02,366.09,8530486
2023-03-12,366.09,371.29,365.39,368.7,8585791
2023-03-13,368.7,369.1,360.53,361.29,2273695
2023-03-14,361.29,361.67,359.92,359.98,4692035
2023-03-15,359.98,363.7,359.79,361.02,2187482
2023-03-16,361.02,364.17,358.41,358.93,5668055
2023-03-17,358.93,365.76,356.71,364.61,7513671
2023-03-18,364.61,366.63,362.29,363.87,3084521
2023-03-19,363.87,364.99,362.08,364.44,1233754
2023-03-20,364.44,367.4,360.03,367.12,4718237
2023-03-21,367.12,371.96,361.25,362.3,3325200
2023-03-22,362.3,364.65,360.07,360.8,5010059
2023-03-23,360.8,360.87,353.97,357.95,8783028
2023-03-24,357.95,358.1,354.42,356.93,8912697
2023-03-25,356.93,360.38,355.23,358.32,3650630
2023-03-26,358.32,361.76,357.68,360.43,1613381
2023-03-27,360.43,363.0,357.97,361.36,8881136
2023-03-28,361.36,366.92,358.51,366.29,2199394
2023-03-29,366.29,367.49,363.02,366.4,1789581
2023-03-30,366.4,369.76,365.01,367.89,6602188
2023-03-31,367.89,370.27,365.67,369.22,3844712
2023-04-01,369.22,373.1,368.32,371.41,1773379
2023-04-02,371.41,371.82,369.34,371.42,1151682
2023-04-03,371.42,373.26,368.47,370.1,3478448
2023-04-04,370.1,370.16,365.21,368.77,8351711
2023-04-05,368.77,370.03,367.27,368.25,1332089
2023-04-06,368.25,371.24,368.11,370.52,8126859
2023-04-07,370.52,373.72,361.18,363.13,3169369
2023-04-08,363.13,364.51,356.86,359.16,3743481
2023-04-09,359.16,359.74,358.52,358.88,6773086
2023-04-10,358.88,366.3,358.83,362.43,1742944
2023-04-11,362.43,363.57,361.64,363.31,8182566
2023-04-12,363.31,365.54,363.09,363.99,5639438
2023-04-13,363.99,368.43,361.79,364.56,6215226
2023-04-14,364.56,369.88,364.49,368.08,2354333
2023-04-15,368.08,370.27,366.81,370.17,8820253
2023-04-16,370.17,371.78,368.9,369.0,5195047
2023-04-17,369.0,369.76,364.39,365.8,7741747
2023-04-18,365.8,369.15,362.54,368.98,5622535
2023-04-19,368.98,372.18,368.64,369.76,3060909
2023-04-20,369.76,372.06,368.85,371.68,5152374
2023-04-21,371.68,375.78,366.67,367.88,5250389
2023-04-22,367.88,369.19,366.85,367.02,8398149
2023-04-23,367.02,370.61,364.26,369.84,4394850
2023-04-24,369.84,381.87,369.66,381.48,6246640
2023-04-25,381.48,381.57,379.42,381.03,2369411
2023-04-26,381.03,388.08,379.2,387.01,3365027
2023-04-27,387.01,393.29,385.11,390.6,1379479
2023-04-28,390.6,390.92,386.75,388.32,3759232
2023-04-29,388.32,392.25,387.86,389.59,3050565
2023-04-30,389.59,399.38,389.32,398.41,3812975
2023-05-01,398.41,403.14,396.73,401.3,5217490
2023-05-02,401.3,402.68,399.44,399.6,7853864
2023-05-03,399.6,401.48,396.69,397.87,1349527
2023-05-04,397.87,399.01,394.5,395.12,5439163
2023-05-05,395.12,395.89,392.95,393.95,8489359
2023-05-06,393.95,398.31,390.75,392.22,5145572
2023-05-07,392.22,396.89,389.43,394.83,6395715
2023-05-08,394.83,403.21,394.26,399.97,4600765
2023-05-09,399.97,400.38,391.03,394.98,2168596
2023-05-10,394.98,403.25,391.36,401.27,1134886
2023-05-11,401.27,402.62,395.48,398.06,8489598
2023-05-12,398.06,403.37,395.0,395.57,1351164
2023-05-13,395.57,396.95,392.77,394.3,1880103
2023-05-14,394.3,395.96,390.66,391.06,5458074
2023-05-15,391.06,392.53,388.8,391.48,1027802
2023-05-16,391.48,391.7,385.88,390.05,1771264
2023-05-17,390.05,390.48,385.78,386.44,7180628
2023-05-18,386.44,387.07,378.09,378.96,7345490
2023-05-19,378.96,379.91,373.34,376.6,4861612
2023-05-20,376.6,376.68,369.6,372.69,7433811
2023-05-21,372.69,376.44,371.85,373.65,2663378
2023-05-22,373.65,376.4,373.57,375.85,3553636
2023-05-23,375.85,383.64,375.09,382.82,5046838
2023-05-24,382.82,386.69,381.3,386.07,6668246
2023-05-25,386.07,389.39,380.25,380.47,3395312
2023-05-26,380.47,380.98,372.83,376.05,2671430
2023-05-27,376.05,382.47,375.23,382.13,4967351
2023-05-28,382.13,387.17,379.78,386.91,4770267
2023-05-29,386.91,389.02,376.88,376.96,8688618
2023-05-30,376.96,380.28,375.96,379.8,5396181
2023-05-31,379.8,379.94,376.85,378.82,6061398
2023-06-01,378.82,383.35,376.35,381.09,2940986
2023-06-02,381.09,385.37,376.92,376.98,4305787
2023-06-03,376.98,377.5,374.71,377.48,3532948
2023-06-04,377.48,378.17,375.34,377.86,4155007
2023-06-05,377.86,381.51,371.37,374.8,8038971
2023-06-06,374.8,378.95,371.89,375.03,2641995
2023-06-07,375.03,379.35,372.64,373.13,4295878
2023-06-08,373.13,380.35,370.49,377.12,1640895
2023-06-09,377.12,378.8,374.36,374.46,1853204
2023-06-10,374.46,378.78,373.49,375.89,6326459
2023-06-11,375.89,379.54,375.65,378.92,2592569
2023-06-12,378.92,384.57,375.3,384.03,4588207
2023-06-13,384.03,392.56,380.85,389.95,8891157
2023-06-14,389.95,391.32,382.68,383.16,1675928
2023-06-15,383.16,390.89,379.8,389.83,6406379
2023-06-16,389.83,393.86,388.02,392.16,8649615
2023-06-17,392.16,394.84,390.21,394.33,3497891
2023-06-18,394.33,395.31,390.78,395.18,6476232
2023-06-19,395.18,398.35,394.06,394.94,4308196
2023-06-20,394.94,402.67,392.8,400.36,1630576
2023-06-21,400.36,407.68,398.81,403.02,8602254
2023-06-22,403.02,405.1,399.78,403.24,4585484
2023-06-23,403.24,406.38,401.53,405.26,1764154
2023-06-24,405.26,408.53,403.32,407.62,7789390
2023-06-25,407.62,409.61,399.29,399.3,4471907
2023-06-26,399.3,399.34,393.43,394.93,3266936
2023-06-27,394.93,395.59,393.29,394.27,2055905
